Activity Type,Location,Distance,Calories,Time,Avg HR,Max HR,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Cadence,Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,Poughkeepsie Running,4.06,453,28:33:00,,,169,198,7:02,5:26,200,217,1.35,,,,,
running,Poughkeepsie Running,3.56,339,25:24:00,150,162,170,198,7:09,6:40,355,198,1.32,,,,,
running,Poughkeepsie Running,7.07,651,48:25:00,156,168,167,180,6:51,5:54,133,130,1.41,,,,,
running,Poughkeepsie Running,6.7,620,45:39:00,160,177,167,186,6:49,5:00,275,293,1.41,,,,,
running,Poughkeepsie Running,1.56,169,12:02,,,169,188,7:42,5:51,21,24,1.24,,,,,
treadmill_running,Treadmill Running,4.95,474,34:09:00,159,178,163,184,6:54,6:17,,,1.22,,,,,
running,Poughkeepsie Running,11.37,"1,228",1:18:01,,,166,213,6:52,6:00,369,360,1.41,,,,,
running,Poughkeepsie Running,1.42,156,10:59,,,163,179,7:42,5:44,18,20,1.28,,,,,
running,Poughkeepsie Running,4.55,494,34:15:00,,,165,176,7:32,5:48,58,70,1.3,,,,,
running,Holmdel Running,3.51,380,26:22:00,,,167,184,7:31,6:18,242,253,1.28,,,,,
running,Poughkeepsie Running,1.14,122,10:20,,,168,176,9:02,7:58,21,40,1.06,,,,,
running,Poughkeepsie Running,3.9,391,30:19:00,,,167,213,7:46,4:28,251,260,1.24,,,,,
running,Poughkeepsie Running,1.31,144,09:12.6,,,169,180,7:03,3:08,,18,1.35,,,,,
running,Poughkeepsie Running,5.52,593,39:46:00,,,167,179,7:12,6:28,177,172,1.34,,,,,
running,Poughkeepsie Running,0.54,56,04:42.4,,,162,171,8:41,7:59,,,1.15,,,,,
running,Poughkeepsie Running,0.87,93,05:00.0,,,168,198,5:43,5:01,,29,1.68,,,,,
running,Poughkeepsie Running,1.3,144,09:45.1,,,168,186,7:29,5:22,,,1.29,,,,,
running,Poughkeepsie Running,8.82,749,1:03:04,151,184,168,207,7:09,4:14,312,311,1.34,,,,,
running,Hyde Park Running,1.46,117,09:07.5,155,180,176,202,6:15,4:23,,3,1.46,,,,,
running,Hyde Park Running,1.73,150,10:20,171,181,172,205,5:58,4:44,34,76,1.57,,,,,
running,Hyde Park Running,1.7,157,11:12,165,176,167,192,6:35,5:30,51,,1.46,,,,,
running,Hyde Park Running,1.19,114,10:05,138,149,165,182,8:29,6:42,26,22,1.15,,,,,
running,Poughkeepsie Running,10.91,963,1:15:11,159,179,168,229,6:54,4:28,551,572,1.39,,,,,
running,Poughkeepsie Running,6.01,553,42:48:00,156,171,167,178,7:07,6:07,163,179,1.36,,,,,
running,Poughkeepsie Running,1.4,111,08:39.2,153,182,172,229,6:11,3:39,52,34,1.51,,,,,
running,Poughkeepsie Running,0.92,62,04:56.6,158,173,175,212,5:22,4:15,117,69,1.72,,,,,
running,Poughkeepsie Running,0.51,55,04:29.6,143,149,163,170,8:53,8:03,19,67,1.11,,,,,
running,Poughkeepsie Running,3.22,297,23:54,148,185,167,194,7:26,4:00,193,202,1.3,,,,,
running,Poughkeepsie Running,6.29,562,45:57:00,150,171,166,186,7:19,6:02,535,532,1.33,,,,,
indoor_cycling,Indoor Cycling,0,376,37:27:00,140,168,,,,,,,0,,,,,
walking,Walking,0.18,256,31:34:00,126,151,17,198,,11:25,,,0.54,,,,,
indoor_cycling,Indoor Cycling,0,345,29:58:00,141,166,,,,,,,0,,,,,
running,Poughkeepsie Running,4.61,402,31:41:00,152,167,165,181,6:53,5:38,276,287,1.42,,,,,
running,Poughkeepsie Running,6.28,490,44:01:00,143,158,167,183,7:00,5:42,377,366,1.38,,,,,
running,Bethlehem Running,1.27,140,13:40,,,161,186,10:46,7:03,49,53,0.93,,,,,
running,Running,1.5,164,11:03,,,166,242,7:21,5:00,,,1.32,,,,,
running,Running,1.5,163,10:51,,,165,172,7:13,5:00,,,0,,,,,
running,Poughkeepsie Running,2.58,231,18:47,148,158,165,177,7:17,5:51,21,22,1.34,,,,,
running,Poughkeepsie Running,5.02,542,35:55:00,,,165,176,7:10,6:02,336,321,1.36,,,,,
walking,Hyde Park Walking,0.27,87,06:52.9,151,184,55,210,25:40:00,10:14,,,1.13,,,,,
running,Hyde Park Running,0.77,62,03:59.3,179,189,170,189,5:12,4:23,,3,1.82,,,,,
running,Hyde Park Running,0.77,62,3:58,179,189,168,188,5:11,4:23,,3,0,,,,,
running,Hyde Park Running,0.77,62,04:07.3,176,186,170,191,5:22,5:05,,6,1.76,,,,,
running,Hyde Park Running,0.77,62,4:08,176,186,170,190,5:23,5:05,,6,0,,,,,
running,Hyde Park Running,0.78,61,04:16.6,171,180,169,188,5:30,4:11,,4,1.73,,,,,
running,Hyde Park Running,0.78,61,4:18,171,180,168,188,5:32,4:11,,4,0,,,,,
running,Poughkeepsie Running,13.09,"1,152",1:27:51,160,171,166,186,6:43,5:15,"1,062","1,048",1.45,,,,,
running,Poughkeepsie Running,0.8,69,05:21.4,154,164,162,171,6:42,7:13,12,,1.48,,,,,
running,Poughkeepsie Running,1.4,122,08:56.9,171,186,168,192,6:23,4:35,46,60,1.5,,,,,
running,Poughkeepsie Running,1.42,119,09:02.2,160,177,165,198,6:22,4:41,,14,1.53,,,,,
running,Poughkeepsie Running,1.27,116,9:53,140,156,165,176,7:46,7:19,,,0,,,,,
running,Poughkeepsie Running,6.26,577,46:42:00,151,166,165,178,7:28,5:09,206,212,1.31,,,,,
running,Poughkeepsie Running,1.29,130,9:42,155,163,163,172,7:32,6:59,23,18,0,,,,,
running,Poughkeepsie Running,1.42,126,9:16,164,186,168,192,6:31,4:00,65,86,0,,,,,
running,Poughkeepsie Running,6.37,574,47:19:00,149,167,164,178,7:25,4:21,376,346,1.32,,,,,
running,Hyde Park Running,0.97,100,08:01.9,147,158,158,196,8:19,6:55,,7,1.23,,,,,
running,Hyde Park Running,0.8,67,04:50.3,166,186,168,193,6:05,4:01,,10,1.57,,,,,
running,Hyde Park Running,0.8,61,04:03.9,179,188,168,186,5:05,4:23,,7,1.88,,,,,
running,Hyde Park Running,0.79,61,04:11.7,176,188,169,191,5:17,5:01,,7,1.81,,,,,
running,Hyde Park Running,0.79,55,04:13.3,160,185,171,180,5:20,4:57,,7,1.77,,,,,
running,Hyde Park Running,0.8,53,04:15.7,160,180,167,192,5:21,5:10,,7,1.8,,,,,
running,Hyde Park Running,1.63,163,12:44,158,177,166,176,7:49,7:09,,,1.24,,,,,
running,Poughkeepsie Running,5.09,461,39:33:00,144,167,166,182,7:46,6:45,275,261,1.25,,,,,
running,Poughkeepsie Running,11.34,966,1:22:40,150,166,165,186,7:17,5:30,477,486,1.34,,,,,
running,New Paltz Running,0.49,51,04:36.3,137,141,162,170,9:30,7:39,25,,1.05,,,,,
running,Poughkeepsie Running,9.1,766,1:05:03,147,158,162,175,7:09,5:32,717,718,1.39,,,,,
running,Poughkeepsie Running,1.39,151,10:32,,,165,174,7:34,7:00,,2,0,,,,,
walking,Poughkeepsie Walking,2.57,77,28:13:00,88,105,7,165,11:00,1:31,163,14,20.24,,,,,
running,Poughkeepsie Running,2.41,209,17:53,143,157,161,180,7:24,5:40,,107,1.35,,,,,
running,Poughkeepsie Running,6.76,642,49:37:00,156,176,162,198,7:20,4:49,96,107,1.35,,,,,
running,Poughkeepsie Running,7,661,50:07:00,159,173,161,176,7:09,6:13,384,379,0,,,,,
running,Poughkeepsie Running,0.55,30,6:34,161,179,170,228,11:57,3:57,,,0,,,,,
running,Poughkeepsie Running,0.89,78,5:01,178,188,162,176,5:39,4:17,26,,0,,,,,
running,Poughkeepsie Running,0.9,75,5:01,176,186,164,172,5:35,5:08,9,10,0,,,,,
running,Poughkeepsie Running,0.85,78,05:01.3,176,184,164,170,5:56,5:02,15,,1.65,,,,,
running,Poughkeepsie Running,0.94,70,05:00.4,164,179,164,177,5:21,4:56,,16,1.83,,,,,
running,Poughkeepsie Running,1.32,133,10:26,141,152,161,174,7:53,6:54,13,15,1.27,,,,,
running,Poughkeepsie Running,3.31,282,25:28:00,143,158,163,179,7:42,5:34,130,115,1.28,,,,,
running,Poughkeepsie Running,9.59,"1,020",1:09:41,,,162,177,7:16,5:45,290,311,1.36,,,,,
running,Brewster Running,5.55,604,37:15:00,,,165,173,6:43,4:54,37,47,1.45,,,,,
running,Brewster Running,3.87,425,33:40:00,,,,,8:42,7:00,68,67,0,,,,,
running,Brewster Running,6.01,650,41:25:00,,,164,175,6:53,5:01,84,86,1.42,,,,,
running,Brewster Running,5.92,633,39:54:00,,,163,180,6:44,5:44,50,50,1.46,,,,,
running,Brewster Running,3.99,425,26:19:00,,,162,173,6:35,5:29,25,29,1.51,,,,,
running,Brewster Running,12,"1,315",1:27:33,,,,,7:18,6:12,303,305,0,,,,,
running,Brewster Running,4.75,504,32:57:00,,,164,197,6:56,1:18,76,58,1.42,,,,,
running,Slingerlands Running,4.31,466,28:14:00,,,164,172,6:33,5:24,73,65,1.5,,,,,
running,Albany Running,4.08,438,27:10:00,,,163,172,6:39,5:06,79,77,1.49,,,,,
running,Altamont Running,6.03,636,46:23:00,,,161,198,7:42,4:18,596,541,1.3,,,,,
running,Poughkeepsie Running,7.14,774,54:53:00,,,161,174,7:41,5:45,672,682,1.3,,,,,
running,Slingerlands Running,4.34,469,28:21:00,,,164,173,6:32,5:03,49,41,1.5,,,,,
running,Troy Running,0.84,88,06:18.2,,,157,169,7:28,6:55,14,11,1.38,,,,,
running,Troy Running,3.17,342,20:54,,,162,171,6:35,5:31,141,125,1.51,,,,,
